"","DATE","TIME","Tb","SUN_EXPOSURE","day","month","year","datetime"
"287","23/05/2022",11,35.4,"Sun-shade","23","05","2022",2022-05-23 11:00:00
"288","23/05/2022",13,33,"Sun-shade","23","05","2022",2022-05-23 13:00:00
"289","23/05/2022",13,34.8,"Sun-shade","23","05","2022",2022-05-23 13:00:00
"290","26/05/2022",18,33.8,"Sun-shade","26","05","2022",2022-05-26 18:00:00
"291","27/05/2022",15,37,"Sun-shade","27","05","2022",2022-05-27 15:00:00
"292","27/05/2022",16,36.6,"Sun-shade","27","05","2022",2022-05-27 16:00:00
"293","27/05/2022",16,37.2,"Sun-shade","27","05","2022",2022-05-27 16:00:00
"294","27/05/2022",17,36.4,"Sun-shade","27","05","2022",2022-05-27 17:00:00
"295","28/05/2022",8,21.8,"Sun-shade","28","05","2022",2022-05-28 08:00:00
"296","28/05/2022",10,33,"Sun-shade","28","05","2022",2022-05-28 10:00:00
"297","28/05/2022",10,34.2,"Sun-shade","28","05","2022",2022-05-28 10:00:00
"298","28/05/2022",10,34.6,"Sun-shade","28","05","2022",2022-05-28 10:00:00
"299","28/05/2022",10,33.2,"Sun-shade","28","05","2022",2022-05-28 10:00:00
"300","28/05/2022",11,34,"Sun-shade","28","05","2022",2022-05-28 11:00:00
"301","28/05/2022",11,33.2,"Sun-shade","28","05","2022",2022-05-28 11:00:00
"302","28/05/2022",12,34,"Sun-shade","28","05","2022",2022-05-28 12:00:00
"303","28/05/2022",12,37.8,"Sun-shade","28","05","2022",2022-05-28 12:00:00
"304","28/05/2022",12,34.8,"Sun-shade","28","05","2022",2022-05-28 12:00:00
"305","28/05/2022",12,36.6,"Sun-shade","28","05","2022",2022-05-28 12:00:00
"306","28/05/2022",13,35.6,"Sun-shade","28","05","2022",2022-05-28 13:00:00
"307","31/05/2022",14,36.2,"Sun-shade","31","05","2022",2022-05-31 14:00:00
"308","31/05/2022",11,34.6,"Sun-shade","31","05","2022",2022-05-31 11:00:00
"309","31/05/2022",12,36.6,"Sun-shade","31","05","2022",2022-05-31 12:00:00
"310","31/05/2022",12,36,"Sun-shade","31","05","2022",2022-05-31 12:00:00
"311","31/05/2022",12,34.8,"Sun-shade","31","05","2022",2022-05-31 12:00:00
"312","01/06/2022",16,34.2,"Sun-shade","01","06","2022",2022-06-01 16:00:00
"313","01/06/2022",16,36.4,"Sun-shade","01","06","2022",2022-06-01 16:00:00
"314","01/06/2022",16,38,"Sun-shade","01","06","2022",2022-06-01 16:00:00
"315","01/06/2022",18,36,"Sun-shade","01","06","2022",2022-06-01 18:00:00
"316","01/06/2022",18,35.8,"Sun-shade","01","06","2022",2022-06-01 18:00:00
"317","29/07/2017",10,32.2,NA,"29","07","2017",2017-07-29 10:00:00
"318","31/07/2017",19,35.4,NA,"31","07","2017",2017-07-31 19:00:00
